"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","sub_grp9","year"
"iversal01PHI2002-03",2.32623018359999,2.78011161374159,-0.229372150956169,0.352523584629773,0.594599508771277,0.331294578789609,2.15534084185292,2.52543497476514,-0.0716868600178233,2.59429244222707,2.47353780820256,0.345847425230795,-0.976757918735604,-0.887094989627943,-1.00975911678757,0.915743308823665,2.13860734908231,-0.836927573730882,1.11616818236594,-1.57083665853771,2.59481417732339,7,2003
"jacksbo01SAC2002-03",1.66110457829516,1.41632521985881,0.575178583425409,1.72167144507935,1.54343844231288,0.813041169011418,0.825343897918305,0.458603538472031,0.929482038423863,0.213148541359764,-0.0587624910130209,0.817048869032731,-0.566822255645941,-0.528175825713565,-0.594639843137912,0.503393875707906,0.64906472026664,-0.836927573730882,0.222756514086924,-0.707044680138385,1.58014418272767,3,2003
"jacksje01TOR2002-03",-1.46498576663752,-0.835508128180198,-1.91892869315748,-0.742794703729885,-0.404178316009361,-0.452724381767454,-1.10315167078689,-0.64148416149043,-1.62734930221183,0.36197003516397,0.0563420680422328,0.856315656016225,-0.484835123028008,-1.48529359615191,-1.19844969571923,1.0188306671026,-0.0957065941411934,-0.461581780971381,0.350386752412498,-0.491096685538555,-1.05316604134218,9,2003
"jacksje01ATL2002-03",-1.53149832716801,-1.81870297028174,0.38208640717383,-0.879709489774842,-0.903567228399679,-0.976978024067658,-1.10315167078689,-1.3082039796495,0.282572904046158,-0.158905193150753,0.228998906625114,-0.747078145809806,-0.566822255645941,-0.827275128975546,-0.783330422069575,0.864199629684195,0.276679063062723,-0.461581780971381,-0.160134200889797,-0.0592006963388944,-1.29475413529354,6,2003
"jacksji01SAC2002-03",0.530391049276957,0.46484634040571,0.221176260297515,0.352523584629773,0.0452717051419261,1.15309758563858,0.359844967541189,0.491939529379985,-0.0716868600178233,-0.828601915269684,-1.03715124298268,0.875949049507973,0.335036203151318,0.309302223419984,0.348813051520401,0.142588121731618,-0.46809225134511,-0.836927573730882,0.0951262757613509,-0.0592006963388944,0.178933237809771,3,2003
"jacksma01UTA2002-03",-0.799860161332698,-0.676928314938014,-0.486828385958272,0.0786940125398585,0.195088378859022,0.364355619295027,-0.837152281999967,-0.874836097846104,-0.102492056892952,-0.679780421465477,-0.749389845344544,0.273858315761055,-0.894770786117671,-0.528175825713565,-0.745592306283242,3.23520887009981,0.0904862344607646,-0.836927573730882,2.00957985064496,-1.06695800447144,-0.787419137995679,6,2003
"jacksma02MIN2002-03",0.330853367685509,0.274550564515089,0.156812201546989,-0.879709489774842,-0.953506119638711,3.74602776242067,0.758844050721574,0.891971420275426,-0.117894655330517,1.106077504185,1.09228309953952,0.286947244755553,0.908946131476846,0.249482362767587,0.575241746238396,-0.836741781918309,-0.654285079947068,0.289109804547622,-0.160134200889797,0.732608617193817,0.468838950551406,1,2003
"jacksst02SAS2002-03",0.59690360980744,0.591710190999457,0.108539157484094,1.17401230089952,1.39362176859579,0.534383827608607,0.0273457315575345,-0.34146024331885,0.867871644673605,-0.158905193150753,-0.231419329595902,0.254224922269307,-0.648809388263873,-0.528175825713565,-0.632377958924245,-0.012042915686792,1.58002886327643,-0.336466516718214,0.860907705714793,-0.347131355805335,0.589632997527087,6,2003
"jacobca01PHO2002-03",-0.666835040271732,-0.296336763156772,-0.889103753149061,1.31092708694447,1.64331622479095,0.510768798676165,-1.30265121237708,-1.40821195237336,-0.194907647518339,-0.0844944462486502,-0.00121021148539413,-0.230065450527126,-0.812783653499739,-1.6049333174567,-1.38714027465089,-0.321304990523611,-0.0957065941411934,-0.711812309477715,-0.543024915866518,-0.635062015271775,-0.255925331302682,4,2003
"jamesje01SEA2002-03",0.264340807155026,-0.106040987266152,0.800452789052249,-0.879709489774842,-0.953506119638711,-1.44927860271649,0.692344203524843,0.525275520287939,0.513611880609624,0.0643270475555567,0.574312583790875,-0.877967435754789,1.48285605980238,1.26641999385832,1.48095652511038,-0.836741781918309,-1.02667073715099,3.91745246788947,1.75431937399381,2.96407122805873,0.0822980002292258,1,2003
