"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"28","25","C. Billups†|†R. Hamilton†|†A. McDyess†|†T. Prince†|†R. Wallace","DET","2004-05","48","228.9","413","404","85.7","37.3","77.4",".482","4.0","12.4",".322",".508","16.2","20.8",".778","94.8","25.0","7.6","6.5","14.5","20.3","+3.4","-0.6","+.047","-0.2","+0.8","-.042","+.046","+4.2","+3.6","+.083","+10.7","Chauncey Billups","Richard Hamilton","Antonio McDyess","Tayshaun Prince","Rasheed Wallace","/players/b/billuch01.html","/players/h/hamilri01.html","/players/m/mcdyean01.html","/players/p/princta01.html","/players/w/wallara01.html"
"29","26","R. Davis†|†R. LaFrentz†|†G. Payton†|†P. Pierce†|†A. Walker","BOS","2004-05","19","227.0","441","439","93.0","39.3","77.2",".510","7.0","19.5",".359",".555","20.7","25.8",".803","106.4","23.9","6.3","7.0","14.0","23.9","+2.1","-3.2","+.046","+3.2","+5.3","+.090","+.068","-3.4","-5.7","+.038","+4.0","Ricky Davis","Raef LaFrentz","Gary Payton","Paul Pierce","Antoine Walker","/players/d/davisri01.html","/players/l/lafrera01.html","/players/p/paytoga01.html","/players/p/piercpa01.html","/players/w/walkean02.html"
"30","27","D. Mason†|†Z. Pachulia†|†M. Redd†|†J. Smith†|†M. Williams","MIL","2004-05","39","226.4","425","429","90.5","33.9","74.0",".458","2.1","5.1",".417",".473","27.4","32.9",".832","97.3","19.3","6.1","2.5","16.1","21.4","-1.3","-5.1","+.013","-2.3","-10.8","+.137",".000","+5.1","+7.0","-.028","+0.2","Desmond Mason","Zaza Pachulia","Michael Redd","Joe Smith","Mo Williams","/players/m/masonde01.html","/players/p/pachuza01.html","/players/r/reddmi01.html","/players/s/smithjo02.html","/players/w/willima01.html"
"31","28","C. Billups†|†R. Hamilton†|†A. McDyess†|†T. Prince†|†B. Wallace","DET","2004-05","53","214.2","383","381","85.6","39.2","80.0",".490","6.5","14.1",".460",".531","16.8","23.5",".714","101.7","24.6","7.2","6.5","12.8","20.8","+6.5","+2.7","+.067","+0.7","-0.2","+.054","+.070","-6.0","-3.1","-.143","+7.6","Chauncey Billups","Richard Hamilton","Antonio McDyess","Tayshaun Prince","Ben Wallace","/players/b/billuch01.html","/players/h/hamilri01.html","/players/m/mcdyean01.html","/players/p/princta01.html","/players/w/wallabe01.html"
"32","29","C. Anthony†|†M. Camby†|†D. Johnson†|†K. Martin†|†A. Miller","DEN","2004-05","25","212.2","422","428","96.1","39.6","79.4",".499","2.7","8.1",".333",".516","21.9","29.2",".752","103.8","26.7","9.3","8.1","15.4","23.8","+2.5","-5.2","+.060","-3.2","-7.5","-.043","+.042","+1.4","+1.6","+.006","+3.2","Carmelo Anthony","Marcus Camby","DerMarr Johnson","Kenyon Martin","Andre Miller","/players/a/anthoca01.html","/players/c/cambyma01.html","/players/j/johnsde03.html","/players/m/martike01.html","/players/m/millean02.html"
"33","30","M. Bibby†|†C. Mobley†|†B. Skinner†|†P. Stojakovic†|†K. Thomas","SAC","2004-05","15","211.6","424","421","95.8","40.8","90.0",".453","10.7","21.8",".490",".513","15.6","21.1",".742","108.0","27.4","7.7","4.5","12.0","19.5","-1.6","+1.4","-.025","+5.9","+9.3","+.108","+.007","-1.8","-2.9","+.016","+0.9","Mike Bibby","Cuttino Mobley","Brian Skinner","Peja Stojakoviƒá","Kenny Thomas","/players/b/bibbymi01.html","/players/m/moblecu01.html","/players/s/skinnbr01.html","/players/s/stojape01.html","/players/t/thomake01.html"
"34","31","T. Allen†|†M. Blount†|†R. LaFrentz†|†G. Payton†|†P. Pierce","BOS","2004-05","19","207.6","419","420","97.0","41.6","85.5",".486","4.4","12.3",".358",".512","19.2","22.4",".856","106.8","25.7","10.9","4.2","15.3","21.3","+4.4","+5.1","+.024","-0.7","-0.9","-.027","+.018","+3.2","+0.7","+.122","+11.3","Tony Allen","Mark Blount","Raef LaFrentz","Gary Payton","Paul Pierce","/players/a/allento01.html","/players/b/blounma01.html","/players/l/lafrera01.html","/players/p/paytoga01.html","/players/p/piercpa01.html"
"35","32","R. Buford†|†V. Carter†|†J. Collins†|†J. Kidd†|†N. Krstic","NJN","2004-05","17","202.7","370","367","87.3","34.6","82.9",".417","3.3","11.1",".298",".437","13.0","18.5",".705","85.5","24.6","9.9","5.0","9.9","19.9","+3.3","+10.2","-.013","-1.9","-2.6","-.081","-0.029","-1.4","-1.4","-.021","+3.3","Rodney Buford","Vince Carter","Jason Collins","Jason Kidd","Nenad Krstiƒá","/players/b/buforro01.html","/players/c/cartevi01.html","/players/c/collija04.html","/players/k/kiddja01.html","/players/k/krstine01.html"
"36","33","T. Allen†|†R. LaFrentz†|†G. Payton†|†P. Pierce†|†A. Walker","BOS","2004-05","16","201.7","381","381","90.7","41.7","84.0",".496","7.6","18.1",".421",".541","17.6","23.3",".755","108.5","24.8","9.5","2.1","13.1","21.4","+3.6","+8.3","-.007","+4.0","+8.1","+.064","+.014","+1.2","+0.7","+.029","+12.4","Tony Allen","Raef LaFrentz","Gary Payton","Paul Pierce","Antoine Walker","/players/a/allento01.html","/players/l/lafrera01.html","/players/p/paytoga01.html","/players/p/piercpa01.html","/players/w/walkean02.html"
"37","34","S. Dalembert†|†A. Iguodala†|†A. Iverson†|†K. Korver†|†K. Thomas","PHI","2004-05","19","201.4","396","399","94.7","38.1","77.7",".491","6.7","15.7",".424",".534","18.4","23.4",".786","101.3","22.9","11.2","6.0","16.2","23.4","+3.6","+1.2","+.039","-0.7","-1.2","-.012","+.034","-0.5","-2.1","+.047","+6.0","Samuel Dalembert","Andre Iguodala","Allen Iverson","Kyle Korver","Kenny Thomas","/players/d/dalemsa01.html","/players/i/iguodan01.html","/players/i/iversal01.html","/players/k/korveky01.html","/players/t/thomake01.html"
"38","35","D. Gooden†|†Z. Ilgauskas†|†L. James†|†J. McInnis†|†E. Snow","CLE","2004-05","36","192.4","359","352","88.7","34.7","76.6",".453","4.0","12.5",".320",".479","28.9","35.4",".817","102.3","23.4","10.2","4.5","12.7","19.7","+3.2","+1.2","+.036","-2.5","-6.5","-.022","+.019","+11.0","+11.5","+.067","+15.0","Drew Gooden","Zydrunas Ilgauskas","LeBron James","Jeff McInnis","Eric Snow","/players/g/goodedr01.html","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/m/mcinnje01.html","/players/s/snower01.html"
"39","36","M. Bibby†|†B. Miller†|†C. Mobley†|†P. Stojakovic†|†C. Webber","SAC","2004-05","9","189.5","383","383","97.0","40.5","90.2",".449","8.9","20.5",".432",".499","14.9","18.5",".808","104.8","29.4","9.1","4.6","10.4","18.7","-0.3","-1.5","+.005","+5.6","+9.6","+.130","+.036","-4.6","-6.6","+.030","+0.5","Mike Bibby","Brad Miller","Cuttino Mobley","Peja Stojakoviƒá","Chris Webber","/players/b/bibbymi01.html","/players/m/millebr01.html","/players/m/moblecu01.html","/players/s/stojape01.html","/players/w/webbech01.html"
