"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"355","532","C. Arroyo†|†L. Hunter†|†A. McDyess†|†T. Prince†|†R. Wallace","DET","2004-05","10","23.1","33","36","71.7","29.1","81.0",".359","2.1","20.8",".100",".372","10.4","18.7",".556","70.6","12.5","4.2","6.2","10.4","22.9","+6.2","+27.0","-.064","-2.1","+6.2","-.186","-0.090","-6.2","-6.2","-.111","+4.2","Carlos Arroyo","Lindsey Hunter","Antonio McDyess","Tayshaun Prince","Rasheed Wallace","/players/a/arroyca01.html","/players/h/hunteli01.html","/players/m/mcdyean01.html","/players/p/princta01.html","/players/w/wallara01.html"
"365","533","K. Anderson†|†J. Childress†|†P. Drobnjak†|†J. Smith†|†A. Walker","ATL","2004-05","11","23.0","49","44","97.0","37.6","91.8",".409","0.0","10.4",".000",".409","12.5","25.0",".500","87.7","18.8","10.4","4.2","10.4","16.7","+4.2","+8.3","+.009","-2.1","-10.4","-.100","-0.003","+10.4","+14.6","+.300","+16.7","Kenny Anderson","Josh Childress","Predrag Drobnjak","Josh Smith","Antoine Walker","/players/a/anderke01.html","/players/c/childjo01.html","/players/d/drobnpr01.html","/players/s/smithjo03.html","/players/w/walkean02.html"
"375","534","S. Dalembert†|†W. Green†|†A. Iverson†|†K. Korver†|†K. Thomas","PHI","2004-05","6","22.9","41","43","88.1","33.6","81.8",".410","12.6","31.5",".400",".487","8.4","16.8",".500","88.1","23.1","10.5","6.3","12.6","25.2","+10.5","0.0","+.128","+8.4","+8.4","+.218","+.179","-10.5","-14.7","-.100","+18.9","Samuel Dalembert","Willie Green","Allen Iverson","Kyle Korver","Kenny Thomas","/players/d/dalemsa01.html","/players/g/greenwi01.html","/players/i/iversal01.html","/players/k/korveky01.html","/players/t/thomake01.html"
"385","535","J. Childress†|†P. Drobnjak†|†A. Harrington†|†T. Lue†|†J. Smith","ATL","2004-05","10","22.8","45","45","94.7","37.9","80.0",".474","0.0","8.4",".000",".474","21.1","21.1","1.000","96.8","27.4","2.1","8.4","18.9","10.5","+2.1","-14.7","+.096","-8.4","-16.8","-.333","+.051","+16.8","+12.6","+.500","+12.6","Josh Childress","Predrag Drobnjak","Al Harrington","Tyronn Lue","Josh Smith","/players/c/childjo01.html","/players/d/drobnpr01.html","/players/h/harrial01.html","/players/l/luety01.html","/players/s/smithjo03.html"
"395","536","C. Anthony†|†G. Buckner†|†M. Camby†|†N. Hil·rio†|†A. Miller","DEN","2004-05","7","22.8","43","46","93.6","37.8","88.3",".429","2.1","8.4",".250",".440","10.5","12.6",".833","88.3","31.5","8.4","8.4","14.7","16.8","+6.3","+6.3","+.044","+2.1","-2.1","+.250","+.056","-6.3","-8.4","+.033","+8.4","Carmelo Anthony","Greg Buckner","Marcus Camby","Nen√™ Hil√°rio","Andre Miller","/players/a/anthoca01.html","/players/b/buckngr01.html","/players/c/cambyma01.html","/players/h/hilarne01.html","/players/m/millean02.html"
"405","537","R. Buford†|†R. Jefferson†|†A. Mourning†|†B. Scalabrine†|†J. Vaughn","NJN","2004-05","6","22.7","38","41","83.4","29.6","67.6",".438","8.5","16.9",".500",".500","10.6","10.6","1.000","78.2","21.1","2.1","8.5","19.0","21.1","0.0","-10.6","+.059","0.0","-6.3","+.136","+.068","0.0","-2.1","+.167","0.0","Rodney Buford","Richard Jefferson","Alonzo Mourning","Brian Scalabrine","Jacque Vaughn","/players/b/buforro01.html","/players/j/jefferi01.html","/players/m/mournal01.html","/players/s/scalabr01.html","/players/v/vaughja01.html"
"417","538","J. Barry†|†P. Drobnjak†|†A. Harrington†|†R. Ivey†|†A. Walker","ATL","2004-05","7","22.7","44","45","94.2","38.1","84.6",".450","8.5","12.7",".667",".500","10.6","23.3",".455","95.2","23.3","12.7","6.3","8.5","23.3","+12.7","+8.5","+.117","+2.1","0.0","+.167","+.125","-12.7","-2.1","-.462","+14.8","Jon Barry","Predrag Drobnjak","Al Harrington","Royal Ivey","Antoine Walker","/players/b/barryjo01.html","/players/d/drobnpr01.html","/players/h/harrial01.html","/players/i/iveyro01.html","/players/w/walkean02.html"
"425","539","L. Barbosa†|†J. Jackson†|†J. Johnson†|†W. McCarty†|†A. Stoudemire","PHO","2004-05","8","22.7","44","44","93.1","42.3","86.8",".488","8.5","19.1",".444",".537","14.8","16.9",".875","108.0","23.3","6.4","6.4","8.5","23.3","+6.4","-10.6","+.118","+6.4","+6.4","+.278","+.156","+2.1","-4.2","+.275","+21.2","Leandro Barbosa","Jim Jackson","Joe Johnson","Walter McCarty","Amar'e Stoudemire","/players/b/barbole01.html","/players/j/jacksji01.html","/players/j/johnsjo02.html","/players/m/mccarwa01.html","/players/s/stoudam01.html"
"435","540","M. Barnes†|†M. Bibby†|†M. Evans†|†D. Songaila†|†C. Webber","SAC","2004-05","8","22.6","47","46","98.7","38.2","89.2",".429","10.6","21.2",".500",".488","19.1","27.6",".692","106.1","21.2","14.9","4.2","21.2","23.3","+8.5","+21.2","-.009","+4.2","+6.4","+.071","+.004","-17.0","-12.7","-.202","+4.2","Matt Barnes","Mike Bibby","Maurice Evans","Darius Songaila","Chris Webber","/players/b/barnema02.html","/players/b/bibbymi01.html","/players/e/evansma01.html","/players/s/songada01.html","/players/w/webbech01.html"
"465","541","L. Harris†|†S. Pavlovic†|†E. Snow†|†R. Traylor†|†A. Varej„o","CLE","2004-05","4","22.6","45","46","96.7","46.8","95.6",".489","4.3","10.6",".400",".511","12.8","19.1",".667","110.5","23.4","17.0","8.5","19.1","29.8","+21.3","+29.8","+.102","0.0","-2.1","+.067","+.092","-8.5","-10.6","-.048","+34.0","Lucious Harris","Sasha Pavloviƒá","Eric Snow","Robert Traylor","Anderson Varej√£o","/players/h/harrilu01.html","/players/p/pavloal01.html","/players/s/snower01.html","/players/t/traylro01.html","/players/v/varejan01.html"
"475","542","C. Arroyo†|†C. Boozer†|†G. Giricek†|†A. Kirilenko†|†M. Okur","UTA","2004-05","3","22.6","43","44","92.6","38.3","76.6",".500","0.0","4.3",".000",".500","21.3","29.8",".714","97.9","27.7","8.5","6.4","14.9","17.0","+6.4","-8.5","+.125","-4.3","-14.9","-.222","+.100","+6.4","+12.8","-.161","+14.9","Carlos Arroyo","Carlos Boozer","Gordan Giriƒçek","Andrei Kirilenko","Mehmet Okur","/players/a/arroyca01.html","/players/b/boozeca01.html","/players/g/giricgo01.html","/players/k/kirilan01.html","/players/o/okurme01.html"
"485","543","E. Dampier†|†M. Finley†|†A. Henderson†|†D. Nowitzki†|†J. Terry","DAL","2004-05","5","22.5","38","39","82.1","34.1","81.1",".421","8.5","12.8",".667",".474","17.1","19.2",".889","93.9","19.2","2.1","2.1","12.8","27.7","+6.4","-2.1","+.088","+6.4","-4.3","+.542","+.128","-2.1","-2.1","-.011","+17.1","Erick Dampier","Michael Finley","Alan Henderson","Dirk Nowitzki","Jason Terry","/players/d/dampier01.html","/players/f/finlemi01.html","/players/h/hendeal01.html","/players/n/nowitdi01.html","/players/t/terryja01.html"
"495","544","C. Andersen†|†B. Davis†|†D. Dickau†|†B. Nachbar†|†R. Rogers","NOH","2004-05","5","22.4","41","39","85.8","30.0","85.8",".350","6.4","27.9",".231",".388","10.7","21.5",".500","77.3","21.5","4.3","8.6","12.9","32.2","+8.6","+19.3","+.027","+2.1","+4.3","+.049","+.033","-6.4","-4.3","-.167","+12.9","Chris Andersen","Baron Davis","Dan Dickau","Bo≈°tjan Nachbar","Rodney Rogers","/players/a/anderch01.html","/players/d/davisba01.html","/players/d/dickada01.html","/players/n/nachbbo01.html","/players/r/rogerro01.html"
"505","545","S. Dalembert†|†W. Green†|†K. Korver†|†J. Salmons†|†C. Williamson","PHI","2004-05","8","22.3","47","46","100.2","40.9","81.9",".500","12.9","19.4",".667",".579","21.5","30.2",".714","116.3","23.7","10.8","6.5","21.5","40.9","+15.1","+21.5","+.071","+2.2","-2.2","+.167","+.061","-10.8","-12.9","-.036","+21.5","Samuel Dalembert","Willie Green","Kyle Korver","John Salmons","Corliss Williamson","/players/d/dalemsa01.html","/players/g/greenwi01.html","/players/k/korveky01.html","/players/s/salmojo01.html","/players/w/willico02.html"
"519","546","M. Harpring†|†K. Humphries†|†K. McLeod†|†M. Okur†|†K. Snyder","UTA","2004-05","8","22.3","43","44","93.7","40.9","68.9",".594","4.3","6.5",".667",".625","32.3","34.5",".938","118.4","21.5","10.8","4.3","23.7","21.5","+8.6","-2.2","+.139","+4.3","-8.6","+.667","+.170","+6.5","+2.2","+.138","+28.0","Matt Harpring","Kris Humphries","Keith McLeod","Mehmet Okur","Kirk Snyder","/players/h/harprma01.html","/players/h/humphkr01.html","/players/m/mcleoke01.html","/players/o/okurme01.html","/players/s/snydeki01.html"
"525","547","K. Garnett†|†T. Hassell†|†F. Hoiberg†|†T. Hudson†|†M. Madsen","MIN","2004-05","6","22.2","38","40","84.2","36.7","73.4",".500","10.8","19.4",".556",".574","19.4","25.9",".750","103.6","21.6","2.2","2.2","10.8","10.8","0.0","-13.0","+.075","+2.2","0.0","+.111","+.099","+15.1","+19.4","+.083","+17.3","Kevin Garnett","Trenton Hassell","Fred Hoiberg","Troy Hudson","Mark Madsen","/players/g/garneke01.html","/players/h/hassetr01.html","/players/h/hoibefr01.html","/players/h/hudsotr01.html","/players/m/madsema01.html"
"535","548","T. Chandler†|†L. Deng†|†B. Gordon†|†O. Harrington†|†K. Hinrich","CHI","2004-05","15","22.2","44","40","90.8","32.4","75.7",".429","4.3","19.5",".222",".457","47.6","49.7",".957","116.8","13.0","6.5","4.3","13.0","25.9","+10.8","+6.5","+.116","+4.3","+6.5","+.222","+.145","+34.6","+28.1","+.357","+60.5","Tyson Chandler","Luol Deng","Ben Gordon","Othella Harrington","Kirk Hinrich","/players/c/chandty01.html","/players/d/denglu01.html","/players/g/gordobe01.html","/players/h/harriot01.html","/players/h/hinriki01.html"
"545","549","N. Collison†|†A. Daniels†|†R. Lewis†|†R. Murray†|†V. Radmanovic","SEA","2004-05","5","22.2","39","39","84.5","47.6","80.1",".595","8.7","26.0",".333",".649","13.0","17.3",".750","116.9","32.5","13.0","8.7","6.5","19.5","+19.5","+15.2","+.161","0.0","+8.7","-.167","+.149","+4.3","0.0","+.250","+43.3","Nick Collison","Antonio Daniels","Rashard Lewis","Ronald Murray","Vladimir Radmanoviƒá","/players/c/collini01.html","/players/d/daniean01.html","/players/l/lewisra02.html","/players/m/murraro01.html","/players/r/radmavl01.html"
"555","550","A. Carter†|†K. Garnett†|†L. Sprewell†|†W. Szczerbiak†|†J. Thomas","MIN","2004-05","11","22.1","48","46","102.1","56.5","102.1",".553","6.5","15.2",".429",".585","17.4","30.4",".571","136.9","32.6","8.7","8.7","13.0","43.5","+19.6","+23.9","+.081","0.0","-6.5","+.129","+.071","-23.9","-32.6","-.084","+15.2","Anthony Carter","Kevin Garnett","Latrell Sprewell","Wally Szczerbiak","John Thomas","/players/c/cartean01.html","/players/g/garneke01.html","/players/s/sprewla01.html","/players/s/szczewa02.html","/players/t/thomajo02.html"
"565","551","J. Barry†|†R. Bowen†|†M. James†|†T. McGrady†|†D. Mutombo","HOU","2004-05","6","22.1","38","38","82.7","28.3","78.4",".361","8.7","21.8",".400",".417","26.1","37.0",".706","91.4","15.2","10.9","0.0","8.7","28.3","+6.5","+8.7","+.049","+4.4","+13.1","-.100","+.073","+4.4","+13.1","-.203","+21.8","Jon Barry","Ryan Bowen","Mike James","Tracy McGrady","Dikembe Mutombo","/players/b/barryjo01.html","/players/b/bowenry01.html","/players/j/jamesmi01.html","/players/m/mcgratr01.html","/players/m/mutomdi01.html"
"575","552","J. Childress†|†J. Collier†|†T. Delk†|†A. Harrington†|†A. Walker","ATL","2004-05","5","22.1","46","46","100.1","50.1","82.7",".605","6.5","13.1",".500",".645","28.3","41.4",".684","135.0","26.1","10.9","2.2","17.4","32.7","+15.2","+19.6","+.054","+4.4","+4.4","+.250","+.076","-19.6","-15.2","-.162","+15.2","Josh Childress","Jason Collier","Tony Delk","Al Harrington","Antoine Walker","/players/c/childjo01.html","/players/c/collija02.html","/players/d/delkto01.html","/players/h/harrial01.html","/players/w/walkean02.html"
"585","553","T. Battie†|†S. Francis†|†D. Howard†|†D. Stevenson†|†H. T¸rkoglu","ORL","2004-05","7","22.0","43","43","93.9","24.0","67.7",".355","2.2","8.7",".250",".371","43.7","50.2",".870","93.9","6.6","10.9","4.4","13.1","10.9","-4.4","-17.5","+.022","-2.2","-10.9","+.028","+.012","+35.0","+37.1","+.203","+24.0","Tony Battie","Steve Francis","Dwight Howard","DeShawn Stevenson","Hedo T√ºrkoƒülu","/players/b/battito01.html","/players/f/francst01.html","/players/h/howardw01.html","/players/s/stevede01.html","/players/t/turkohe01.html"
"595","554","T. Kukoc†|†D. Mason†|†Z. Pachulia†|†J. Smith†|†M. Williams","MIL","2004-05","6","22.0","48","43","99.4","48.1","94.0",".512","4.4","8.7",".500",".535","15.3","24.0",".636","115.8","32.8","15.3","4.4","15.3","21.9","+10.9","+19.7","+.012","-2.2","-17.5","+.250","-0.009","+8.7","+8.7","+.208","+28.4","Toni Kukoƒç","Desmond Mason","Zaza Pachulia","Joe Smith","Mo Williams","/players/k/kukocto01.html","/players/m/masonde01.html","/players/p/pachuza01.html","/players/s/smithjo02.html","/players/w/willima01.html"
"605","555","S. Battier†|†P. Gasol†|†J. Posey†|†S. Swift†|†J. Williams","MEM","2004-05","5","22.0","38","38","83.1","30.6","74.3",".412","8.7","26.2",".333",".471","26.2","30.6",".857","96.2","17.5","2.2","13.1","8.7","21.9","0.0","-13.1","+.062","+4.4","+8.7","+.083","+.096","+10.9","+13.1","-.018","+15.3","Shane Battier","Pau Gasol","James Posey","Stromile Swift","Jason Williams","/players/b/battish01.html","/players/g/gasolpa01.html","/players/p/poseyja01.html","/players/s/swiftst01.html","/players/w/willija02.html"
"617","556","T. Ariza†|†J. Crawford†|†S. Marbury†|†K. Thomas†|†J. Williams","NYK","2004-05","10","21.9","45","46","99.6","56.9","89.7",".634","8.8","19.7",".444",".683","30.6","37.2",".824","153.2","28.4","8.8","4.4","10.9","24.1","+26.3","+17.5","+.210","-2.2","-13.1","+.111","+.183","-4.4","-2.2","-.065","+46.0","Trevor Ariza","Jamal Crawford","Stephon Marbury","Kurt Thomas","Jerome Williams","/players/a/arizatr01.html","/players/c/crawfja01.html","/players/m/marbust01.html","/players/t/thomaku01.html","/players/w/willije01.html"
"625","557","M. Camby†|†D. Johnson†|†K. Martin†|†A. Miller†|†B. Russell","DEN","2004-05","7","21.8","44","44","96.9","26.4","61.7",".429","2.2","4.4",".500",".446","26.4","37.4",".706","81.5","8.8","8.8","8.8","24.2","24.2","+4.4","-33.0","+.196","0.0","-17.6","+.400","+.202","+15.4","+22.0","-.008","+24.2","Marcus Camby","DerMarr Johnson","Kenyon Martin","Andre Miller","Bryon Russell","/players/c/cambyma01.html","/players/j/johnsde03.html","/players/m/martike01.html","/players/m/millean02.html","/players/r/russebr01.html"
"635","558","E. Griffin†|†F. Hoiberg†|†T. Hudson†|†M. Madsen†|†W. Szczerbiak","MIN","2004-05","8","21.8","39","40","86.9","44.0","90.2",".488","11.0","26.4",".417",".549","13.2","13.2","1.000","112.2","22.0","4.4","2.2","13.2","24.2","+13.2","+11.0","+.099","+6.6","+2.2","+.235","+.132","-13.2","-13.2",".000","+19.8","Eddie Griffin","Fred Hoiberg","Troy Hudson","Mark Madsen","Wally Szczerbiak","/players/g/griffed01.html","/players/h/hoibefr01.html","/players/h/hudsotr01.html","/players/m/madsema01.html","/players/s/szczewa02.html"
"645","559","P. Brezec†|†M. Ely†|†J. Kapono†|†B. Knight†|†G. Wallace","CHA","2004-05","7","21.8","40","42","90.2","44.0","77.0",".571","4.4","6.6",".667",".600","8.8","11.0",".800","101.2","35.2","0.0","6.6","19.8","22.0","+13.2","-17.6","+.246","+2.2","-11.0","+.542","+.263","-24.2","-26.4","-.082","+4.4","Primo≈æ Brezec","Melvin Ely","Jason Kapono","Brevin Knight","Gerald Wallace","/players/b/brezepr01.html","/players/e/elyme01.html","/players/k/kaponja01.html","/players/k/knighbr01.html","/players/w/wallage01.html"
"655","560","T. Best†|†V. Carter†|†J. Collins†|†J. Kidd†|†B. Scalabrine","NJN","2004-05","8","21.8","43","43","94.6","35.2","66.0",".533","6.6","19.8",".333",".583","37.4","50.6",".739","114.4","19.8","11.0","8.8","15.4","15.4","+8.8","-11.0","+.190","+4.4","+4.4","+.190","+.226","+19.8","+30.8","-.150","+41.8","Travis Best","Vince Carter","Jason Collins","Jason Kidd","Brian Scalabrine","/players/b/besttr01.html","/players/c/cartevi01.html","/players/c/collija04.html","/players/k/kiddja01.html","/players/s/scalabr01.html"
"685","561","D. Davis†|†S. Jackson†|†A. Johnson†|†R. Miller†|†J. O'Neal","IND","2004-05","2","21.7","43","40","91.6","30.9","72.9",".424","2.2","8.8",".250",".439","30.9","39.7",".778","94.9","17.7","11.0","0.0","13.2","26.5","+2.2","+2.2","+.018","-2.2","-6.6","-.036","+.002","+11.0","+15.5","-.040","+13.2","Dale Davis","Stephen Jackson","Anthony Johnson","Reggie Miller","Jermaine O'Neal","/players/d/davisda01.html","/players/j/jacksst02.html","/players/j/johnsan02.html","/players/m/millere01.html","/players/o/onealje01.html"
"695","562","E. House†|†K. Martin†|†G. Ostertag†|†D. Songaila†|†C. Williamson","SAC","2004-05","2","21.7","44","42","95.3","48.8","97.6",".500","6.7","13.3",".500",".534","26.6","35.5",".750","130.8","24.4","4.4","0.0","2.2","22.2","+17.7","+28.8","+.048","+2.2","-4.4","+.250","+.050","-4.4","-6.7","+.013","+33.3","Eddie House","Kevin Martin","Greg Ostertag","Darius Songaila","Corliss Williamson","/players/h/houseed01.html","/players/m/martike02.html","/players/o/ostergr01.html","/players/s/songada01.html","/players/w/willico02.html"
"705","563","B. Barry†|†D. Brown†|†R. Horry†|†R. Nesterovic†|†T. Parker","SAS","2004-05","12","21.6","42","40","91.1","44.5","84.5",".526","8.9","20.0",".444",".579","24.5","24.5","1.000","122.3","24.5","11.1","4.4","8.9","33.3","+20.0","+22.2","+.133","+4.4","+4.4","+.159","+.150","-17.8","-37.8","+.321","+26.7","Brent Barry","Devin Brown","Robert Horry","Rasho Nesteroviƒá","Tony Parker","/players/b/barrybr01.html","/players/b/brownde02.html","/players/h/horryro01.html","/players/n/nestera01.html","/players/p/parketo01.html"
"719","564","A. Biedrinö†|†B. Davis†|†M. Dunleavy†|†T. Murphy†|†M. PiÈtrus","GSW","2004-05","8","21.6","46","43","98.9","44.5","88.9",".500","11.1","26.7",".417",".563","15.6","22.2",".700","115.6","17.8","15.6","8.9","13.3","17.8","+15.6","+6.7","+.149","+6.7","+11.1","+.131","+.184","0.0","+2.2","-.078","+37.8","Andris Biedri≈Ü≈°","Baron Davis","Mike Dunleavy","Troy Murphy","Micka√´l Pi√©trus","/players/b/biedran01.html","/players/d/davisba01.html","/players/d/dunlemi02.html","/players/m/murphtr01.html","/players/p/pietrmi01.html"
"725","565","S. Anderson†|†K. Dooling†|†U. Haslem†|†E. Jones†|†S. O'Neal","MIA","2004-05","10","21.6","39","38","85.5","31.1","68.8",".452","4.4","13.3",".333",".484","24.4","44.4",".550","91.0","13.3","13.3","6.7","11.1","15.5","+8.9","-4.4","+.149","0.0","-8.9","+.133","+.151","+11.1","+26.6","-.200","+28.9","Shandon Anderson","Keyon Dooling","Udonis Haslem","Eddie Jones","Shaquille O'Neal","/players/a/andersh01.html","/players/d/doolike01.html","/players/h/hasleud01.html","/players/j/jonesed02.html","/players/o/onealsh01.html"
"735","566","L. Barbosa†|†J. Johnson†|†S. Marion†|†S. Nash†|†A. Stoudemire","PHO","2004-05","9","21.6","42","42","93.3","51.1","93.3",".548","6.7","20.0",".333",".583","15.6","15.6","1.000","124.4","26.7","6.7","2.2","13.3","13.3","+4.4","+6.7","+.009","0.0","+6.7","-.167","+.006","+4.4","+4.4",".000","+13.3","Leandro Barbosa","Joe Johnson","Shawn Marion","Steve Nash","Amar'e Stoudemire","/players/b/barbole01.html","/players/j/johnsjo02.html","/players/m/mariosh01.html","/players/n/nashst01.html","/players/s/stoudam01.html"
"745","567","J. Barry†|†J. Howard†|†Y. Ming†|†B. Sura†|†D. Wesley","HOU","2004-05","9","21.5","42","43","95.0","40.3","71.6",".563","4.5","13.4",".333",".594","31.3","33.5",".933","116.3","29.1","8.9","4.5","13.4","11.2","-8.9","-11.2","-.032","-2.2","0.0","-.167","-0.041","+22.4","+17.9","+.362","+2.2","Jon Barry","Juwan Howard","Yao Ming","Bob Sura","David Wesley","/players/b/barryjo01.html","/players/h/howarju01.html","/players/m/mingya01.html","/players/s/surabo01.html","/players/w/wesleda01.html"
"755","568","A. Iverson†|†M. Jackson†|†K. Korver†|†J. Salmons†|†K. Thomas","PHI","2004-05","10","21.5","43","41","93.7","31.2","80.3",".389","6.7","20.1",".333",".431","20.1","26.8",".750","89.2","13.4","8.9","0.0","11.2","20.1","-4.5","-4.5","-.032","+6.7","+8.9","+.333","+.010","+4.5","+6.7","-.028","+2.2","Allen Iverson","Marc Jackson","Kyle Korver","John Salmons","Kenny Thomas","/players/i/iversal01.html","/players/j/jacksma02.html","/players/k/korveky01.html","/players/s/salmojo01.html","/players/t/thomake01.html"
"765","569","R. Ara˙jo†|†M. Bonner†|†L. Murray†|†M. Palacio†|†M. Peterson","TOR","2004-05","4","21.4","41","41","92.1","49.4","83.2",".595","9.0","22.5",".400",".649","27.0","27.0","1.000","134.8","22.5","18.0","0.0","18.0","20.2","+13.5","+15.7","+.061","+4.5","+11.2",".000","+.082","+13.5","+9.0","+.250","+44.9","Rafael Ara√∫jo","Matt Bonner","Lamond Murray","Milt Palacio","Morris Peterson","/players/a/araujra01.html","/players/b/bonnema01.html","/players/m/murrala01.html","/players/p/palacmi01.html","/players/p/petermo01.html"
"775","570","M. Carroll†|†M. Ely†|†J. Hart†|†J. Kapono†|†E. Okafor","CHA","2004-05","8","21.4","40","38","87.3","40.3","71.6",".563","4.5","6.7",".667",".594","31.3","40.3",".778","116.4","24.6","9.0","0.0","9.0","35.8","+4.5","+4.5","+.029","+2.2","-4.5","+.467","+.044","0.0","-2.2","+.041","+11.2","Matt Carroll","Melvin Ely","Jason Hart","Jason Kapono","Emeka Okafor","/players/c/carroma01.html","/players/e/elyme01.html","/players/h/hartja01.html","/players/k/kaponja01.html","/players/o/okafoem01.html"
"785","571","T. Chandler†|†A. Davis†|†L. Deng†|†C. Duhon†|†B. Gordon","CHI","2004-05","6","21.4","44","38","91.8","38.1","98.5",".386","11.2","22.4",".500",".443","26.9","42.5",".632","114.2","17.9","4.5","0.0","4.5","13.4","+11.2","+20.2","+.044","+4.5","-2.2","+.227","+.057","+15.7","+24.6","+.007","+42.5","Tyson Chandler","Antonio Davis","Luol Deng","Chris Duhon","Ben Gordon","/players/c/chandty01.html","/players/d/davisan01.html","/players/d/denglu01.html","/players/d/duhonch01.html","/players/g/gordobe01.html"
"795","572","M. Evans†|†E. House†|†C. Mobley†|†D. Songaila†|†C. Williamson","SAC","2004-05","4","21.2","38","42","90.6","47.6","72.5",".656","6.8","9.1",".750",".703","31.7","36.3",".875","133.7","29.5","6.8","0.0","11.3","34.0","+18.1","-2.3","+.262","0.0","-4.5","+.250","+.264","0.0","-4.5","+.097","+36.3","Maurice Evans","Eddie House","Cuttino Mobley","Darius Songaila","Corliss Williamson","/players/e/evansma01.html","/players/h/houseed01.html","/players/m/moblecu01.html","/players/s/songada01.html","/players/w/willico02.html"
"805","573","S. Hunter†|†S. Marion†|†S. Nash†|†Q. Richardson†|†A. Stoudemire","PHO","2004-05","9","21.2","45","42","98.4","38.5","79.2",".486","18.1","27.1",".667",".600","27.1","43.0",".632","122.2","24.9","6.8","4.5","18.1","15.8","0.0","-2.3","+.013","+18.1","+18.1","+.667","+.128","+9.0","+18.1","-.096","+27.1","Steven Hunter","Shawn Marion","Steve Nash","Quentin Richardson","Amar'e Stoudemire","/players/h/huntest01.html","/players/m/mariosh01.html","/players/n/nashst01.html","/players/r/richaqu01.html","/players/s/stoudam01.html"
"817","574","G. Arenas†|†S. Blake†|†A. Jamison†|†M. Ruffin†|†E. Thomas","WAS","2004-05","5","21.2","42","41","94.0","31.7","70.2",".452","11.3","22.7",".500",".532","29.5","38.5",".765","104.2","24.9","11.3","13.6","20.4","31.7","+6.8","-2.3","+.108","+4.5","0.0","+.200","+.142","-4.5","-6.8","+.015","+13.6","Gilbert Arenas","Steve Blake","Antawn Jamison","Michael Ruffin","Etan Thomas","/players/a/arenagi01.html","/players/b/blakest01.html","/players/j/jamisan01.html","/players/r/ruffimi01.html","/players/t/thomaet01.html"
"825","575","D. Diop†|†L. Harris†|†Z. Ilgauskas†|†L. James†|†J. McInnis","CLE","2004-05","3","21.2","36","39","85.0","40.8","88.4",".462","2.3","13.6",".167",".474","13.6","18.1",".750","97.5","11.3","22.7","9.1","11.3","29.5","+20.4","+20.4","+.162","+2.3","+6.8","+.167","+.174","-11.3","-18.1","+.063","+31.7","DeSagana Diop","Lucious Harris","Zydrunas Ilgauskas","LeBron James","Jeff McInnis","/players/d/diopde01.html","/players/h/harrilu01.html","/players/i/ilgauzy01.html","/players/j/jamesle01.html","/players/m/mcinnje01.html"
"835","576","G. Arenas†|†J. Hayes†|†A. Jamison†|†J. Jeffries†|†E. Thomas","WAS","2004-05","7","21.2","41","42","94.0","43.0","90.6",".475","4.5","22.7",".200",".500","15.9","18.1",".875","106.5","15.9","15.9","6.8","9.1","18.1","+4.5","+13.6","-.025","-4.5","+6.8","-.371","-0.059","-2.3","0.0","-.125","+2.3","Gilbert Arenas","Jarvis Hayes","Antawn Jamison","Jared Jeffries","Etan Thomas","/players/a/arenagi01.html","/players/h/hayesja01.html","/players/j/jamisan01.html","/players/j/jeffrja01.html","/players/t/thomaet01.html"
"845","577","J. Collins†|†M. Harpring†|†K. McLeod†|†M. Okur†|†K. Snyder","UTA","2004-05","4","21.1","37","37","84.1","40.9","86.4",".474","2.3","9.1",".250",".487","18.2","22.7",".800","102.3","20.5","4.5","2.3","9.1","27.3","+6.8","+13.6","+.005","-2.3","-6.8","-.036","-0.013","0.0","-6.8","+.185","+11.4","Jarron Collins","Matt Harpring","Keith McLeod","Mehmet Okur","Kirk Snyder","/players/c/collija03.html","/players/h/harprma01.html","/players/m/mcleoke01.html","/players/o/okurme01.html","/players/s/snydeki01.html"
"855","578","S. Bradley†|†M. Daniels†|†M. Finley†|†D. Nowitzki†|†J. Terry","DAL","2004-05","8","21.1","40","38","88.9","36.5","77.5",".471","4.6","11.4",".400",".500","36.5","43.3",".842","113.9","18.2","2.3","11.4","2.3","20.5","+4.6","-9.1","+.102","0.0","-2.3","+.067","+.105","+25.1","+25.1","+.217","+34.2","Shawn Bradley","Marquis Daniels","Michael Finley","Dirk Nowitzki","Jason Terry","/players/b/bradlsh01.html","/players/d/daniema01.html","/players/f/finlemi01.html","/players/n/nowitdi01.html","/players/t/terryja01.html"
