"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"24","21","A. Aminu†|†M. Harkless†|†D. Lillard†|†C. McCollum†|†M. Plumlee","POR","2015-16","36","289.6","590","603","98.9","41.8","85.9",".486","13.8","31.7",".435",".567","15.9","21.6",".738","113.2","25.4","10.3","5.3","15.6","18.4","+2.5","-2.2","+.040","+5.1","+7.6","+.076","+.071","+2.0","+1.2","+.056","+12.1","Al-Farouq Aminu","Maurice Harkless","Damian Lillard","CJ McCollum","Mason Plumlee","/players/a/aminual01.html","/players/h/harklma01.html","/players/l/lillada01.html","/players/m/mccolcj01.html","/players/p/plumlma01.html"
"25","22","K. Garnett†|†T. Prince†|†R. Rubio†|†K. Towns†|†A. Wiggins","MIN","2015-16","25","275.3","517","526","90.9","38.0","80.9",".470","3.0","9.9",".298",".488","16.2","20.9",".775","95.2","26.8","9.6","4.9","9.8","19.4","+4.0","+1.6","+.041","-4.2","-10.3","-.055","+.015","+3.7","+4.2","+.025","+7.5","Kevin Garnett","Tayshaun Prince","Ricky Rubio","Karl-Anthony Towns","Andrew Wiggins","/players/g/garneke01.html","/players/p/princta01.html","/players/r/rubiori01.html","/players/t/townska01.html","/players/w/wiggian01.html"
"26","23","B. Griffin†|†D. Jordan†|†L. Mbah a Moute†|†C. Paul†|†J. Redick","LAC","2015-16","18","273.2","540","546","95.4","43.2","85.0",".508","8.3","19.3",".427",".557","12.8","21.4",".598","107.5","29.0","8.4","2.3","13.0","13.4","+7.0","-0.4","+.084","+2.3","+0.5","+.110","+.098","+1.1","+6.1","-.172","+17.4","Blake Griffin","DeAndre Jordan","Luc Mbah a Moute","Chris Paul","J.J. Redick","/players/g/griffbl01.html","/players/j/jordade01.html","/players/m/mbahalu01.html","/players/p/paulch01.html","/players/r/redicjj01.html"
"27","24","R. Felton†|†W. Matthews†|†D. Nowitzki†|†Z. Pachulia†|†D. Williams","DAL","2015-16","37","271.1","525","504","91.1","39.7","85.3",".465","11.2","26.6",".420",".530","17.5","20.4",".861","108.0","22.5","7.8","3.0","9.4","15.4","+3.7","+3.9","+.023","+1.8","+1.4","+.047","+.031","+5.5","+3.7","+.137","+14.7","Raymond Felton","Wesley Matthews","Dirk Nowitzki","Zaza Pachulia","Deron Williams","/players/f/feltora01.html","/players/m/matthwe02.html","/players/n/nowitdi01.html","/players/p/pachuza01.html","/players/w/willide01.html"
"28","25","T. Allen†|†M. Conley†|†M. Gasol†|†C. Lee†|†Z. Randolph","MEM","2015-16","25","260.4","488","489","90.0","37.2","82.9",".449","5.2","13.5",".384",".480","16.0","19.4",".829","95.7","24.3","9.0","2.2","11.2","16.0","+1.7","+5.3","-.010","-1.8","-8.1","+.059","-0.024","+4.4","+3.1","+.113","+5.9","Tony Allen","Mike Conley","Marc Gasol","Courtney Lee","Zach Randolph","/players/a/allento01.html","/players/c/conlemi01.html","/players/g/gasolma01.html","/players/l/leeco01.html","/players/r/randoza01.html"
"29","26","D. Favors†|†R. Gobert†|†G. Hayward†|†R. Hood†|†S. Mack","UTA","2015-16","22","255.3","480","479","90.2","39.1","78.2",".500","7.9","18.4",".429",".550","15.8","22.2",".712","101.9","23.1","8.5","4.9","15.2","14.3","+2.6","-2.4","+.048","+0.2","+0.4","+.001","+.050","+3.9","+6.2","-.029","+9.4","Derrick Favors","Rudy Gobert","Gordon Hayward","Rodney Hood","Shelvin Mack","/players/f/favorde01.html","/players/g/goberru01.html","/players/h/haywago01.html","/players/h/hoodro01.html","/players/m/macksh01.html"
"30","27","A. Bogut†|†S. Curry†|†D. Green†|†B. Rush†|†K. Thompson","GSW","2015-16","31","253.5","540","543","102.5","44.7","86.7",".515","16.5","37.7",".437",".610","11.2","15.5",".720","117.0","31.4","7.2","8.1","17.4","18.0","+5.3","-7.4","+.097","+9.7","+13.8","+.151","+.156","-4.9","-5.5","-.046","+15.3","Andrew Bogut","Stephen Curry","Draymond Green","Brandon Rush","Klay Thompson","/players/b/bogutan01.html","/players/c/curryst01.html","/players/g/greendr01.html","/players/r/rushbr01.html","/players/t/thompkl01.html"
"31","28","A. Horford†|†K. Korver†|†P. Millsap†|†T. Sefolosha†|†J. Teague","ATL","2015-16","45","233.5","476","462","96.4","39.9","85.5",".466","9.0","24.9",".364",".519","13.2","17.5",".753","102.0","24.9","8.6","6.2","15.2","16.6","+2.7","-4.3","+.052","+2.3","+3.9","+.040","+.067","-0.6","-1.6","+.033","+7.0","Al Horford","Kyle Korver","Paul Millsap","Thabo Sefolosha","Jeff Teague","/players/h/horfoal01.html","/players/k/korveky01.html","/players/m/millspa01.html","/players/s/sefolth01.html","/players/t/teaguje01.html"
"32","29","B. Beal†|†J. Dudley†|†M. Gortat†|†O. Porter†|†J. Wall","WAS","2015-16","30","229.4","484","469","99.7","43.7","90.0",".486","10.9","30.8",".354",".547","14.9","19.7",".755","113.2","29.5","9.2","4.2","15.5","16.3","+4.8","+5.6","+.025","+2.1","+8.8","-.046","+.033","+0.4","+1.5","-.038","+12.1","Bradley Beal","Jared Dudley","Marcin Gortat","Otto Porter","John Wall","/players/b/bealbr01.html","/players/d/dudleja01.html","/players/g/gortama01.html","/players/p/porteot01.html","/players/w/walljo01.html"
"33","30","C. Anthony†|†J. CalderÛn†|†R. Lopez†|†K. Porzingis†|†S. Vujacic","NYK","2015-16","17","228.2","445","453","94.5","37.0","87.9",".421","10.1","26.9",".375",".478","13.0","14.9",".873","97.2","23.8","5.9","6.1","13.9","20.6","+1.3","+1.9","+.005","+2.9","+4.8","+.051","+.021","-3.8","-6.9","+.104","+1.7","Carmelo Anthony","Jos√© Calder√≥n","Robin Lopez","Kristaps Porzi≈Üƒ£is","Sasha Vujaƒçiƒá","/players/a/anthoca01.html","/players/c/caldejo01.html","/players/l/lopezro01.html","/players/p/porzikr01.html","/players/v/vujacsa01.html"
